submission_time,todays_date,ward,hh_head_icf_language,num_houses,house_wall,house_wall_specify,house_roof,house_roof_specify,main_water_source,main_water_source_specify,toilet_type,main_lighting,main_lighting_other,household_possessions,own_cattle,num_hh_members,instanceID,KEY,wid,cluster,lng,lat
2023-07-21T09:28:35Z,2023-07-21,PONGWE KIKONENI,Swahili,2,mud,NA,palm,NA,Borehole with manual pump outside the compound,NA,"None (bush, field)",Firewood,NA,Radio Cellphone Table,no,5,uuid:65e1e323-218a-4c69-bb93-f629458af9eb,uuid:65e1e323-218a-4c69-bb93-f629458af9eb,2616,9,-4.449699139781111,39.34683198464555
2023-07-21T09:28:34Z,2023-07-21,PONGWE KIKONENI,Swahili,1,mud,NA,palm,NA,Borehole with manual pump outside the compound,NA,"None (bush, field)",Firewood,NA,Cellphone,no,6,uuid:b4b5d4aa-128f-4a32-8380-477597609447,uuid:b4b5d4aa-128f-4a32-8380-477597609447,2616,9,-4.460629956406772,39.34775862587399
2023-07-21T09:28:32Z,2023-07-21,PONGWE KIKONENI,Swahili,2,mud,NA,palm,NA,Open well outside the compound,NA,"None (bush, field)",Firewood,NA,Cellphone,no,2,uuid:80ac7913-7d00-4e80-aa96-67ad3c728331,uuid:80ac7913-7d00-4e80-aa96-67ad3c728331,2616,9,-4.4492848534114104,39.34686785234447
2023-07-21T09:28:31Z,2023-07-21,PONGWE KIKONENI,Swahili,1,blocks_mud,NA,iron,NA,Open well outside the compound,NA,Traditional pit latrine,Firewood,NA,Radio Cellphone Table,yes,1,uuid:1cc21f4b-c6d5-4e82-9d69-777a9e0b3685,uuid:1cc21f4b-c6d5-4e82-9d69-777a9e0b3685,2616,9,-4.44802473299183,39.3483039531491
2023-07-21T09:26:08Z,2023-07-21,PONGWE KIKONENI,Swahili,0,blocks_cement,NA,iron,NA,Open well outside the compound,NA,Flush to pit latrine,Candles,NA,Cellphone,no,1,uuid:ca8f4c3d-a8b8-4113-aa03-5511adf044f8,uuid:ca8f4c3d-a8b8-4113-aa03-5511adf044f8,2513,49,-4.5433530743662995,39.36991273540172
2023-07-21T09:08:15Z,2023-07-21,PONGWE KIKONENI,Swahili,2,blocks_cement,NA,iron,NA,Water collected directly from the river or ponds,NA,"None (bush, field)",Solar panel,NA,Radio Cellphone,yes,2,uuid:5aa8ea2b-2976-43af-810b-aefd098800f9,uuid:5aa8ea2b-2976-43af-810b-aefd098800f9,2495,25,-4.50344777001504,39.37251540492342
2023-07-21T09:08:11Z,2023-07-20,PONGWE KIKONENI,Swahili,9,mud,NA,iron,NA,Water collected directly from the river or ponds,NA,"None (bush, field)",Solar panel,NA,Cellphone Radio Table,yes,13,uuid:a0a52d77-58dc-4550-9313-cbe1edc1e7ef,uuid:a0a52d77-58dc-4550-9313-cbe1edc1e7ef,2495,25,-4.499913155132804,39.37288393820884
2023-07-21T09:08:10Z,2023-07-20,PONGWE KIKONENI,NA,1,palm,NA,palm,NA,Water collected directly from the river or ponds,NA,"None (bush, field)",Kerosene lamp,NA,Cellphone,yes,5,uuid:291cbf85-6c45-4dbb-8a06-be1e28323262,uuid:291cbf85-6c45-4dbb-8a06-be1e28323262,2495,25,-4.505243901139489,39.37169582359407
2023-07-21T08:46:35Z,2023-07-21,PONGWE KIKONENI,Swahili,3,mud,NA,palm,NA,Covered well outside the compound,NA,Traditional pit latrine,Solar panel,NA,Cellphone,no,2,uuid:7bae8632-53a7-4d6f-a87c-9709b963af5e,uuid:7bae8632-53a7-4d6f-a87c-9709b963af5e,2514,49,-4.532131751099137,39.373084519696455
2023-07-21T08:30:41Z,2023-07-21,RAMISI,Swahili,1,mud,NA,palm,NA,Open well outside the compound,NA,"None (bush, field)",Candles,NA,Radio Cellphone,no,7,uuid:7deeef70-babe-4342-b8aa-dec14babcf66,uuid:7deeef70-babe-4342-b8aa-dec14babcf66,2490,22,-4.505732599909585,39.400002094061016
2023-07-21T08:10:38Z,2023-07-21,PONGWE KIKONENI,Swahili,1,blocks_cement,NA,iron,NA,Piped water outside the compound,NA,Improved ventilated pit latrine,Electricity,NA,Radio TV Cellphone Sofa Table Cupboard,no,2,uuid:a7458646-e00c-4a03-b177-ac6f5f7c18d4,uuid:a7458646-e00c-4a03-b177-ac6f5f7c18d4,2516,49,-4.535918979201868,39.36815475007812
2023-07-21T07:53:43Z,2023-07-19,PONGWE KIKONENI,Swahili,2,blocks_cement,NA,iron,NA,Piped water within compound,NA,Flush to pit latrine,Electricity,NA,Radio TV Cellphone Sofa Table,no,5,uuid:a059b709-8e43-4622-b053-4286d08d531b,uuid:a059b709-8e43-4622-b053-4286d08d531b,2437,90,-4.652268979877531,39.38610910781646
2023-07-21T07:46:19Z,2023-07-18,PONGWE KIKONENI,Swahili,1,blocks_cement,NA,iron,NA,Open well outside the compound,NA,Improved ventilated pit latrine,Electricity,NA,TV Cellphone,no,3,uuid:9cd6febd-d7c5-4637-a126-b82ab28cd3d8,uuid:9cd6febd-d7c5-4637-a126-b82ab28cd3d8,2472,88,-4.638070949133918,39.380826810737865
2023-07-21T07:45:16Z,2023-07-21,PONGWE KIKONENI,NA,1,mud,NA,palm,NA,Open well outside the compound,NA,"None (bush, field)",Batteries,NA,Cellphone,no,2,uuid:63f68f26-17b5-4705-bf1f-91e9621aed6f,uuid:63f68f26-17b5-4705-bf1f-91e9621aed6f,2585,72,-4.537441601316729,39.26000641141056
2023-07-21T07:30:44Z,2023-07-21,PONGWE KIKONENI,Swahili,1,blocks_cement,NA,iron,NA,Open well outside the compound,NA,Traditional pit latrine,Electricity,NA,Cellphone,no,1,uuid:67eaf9ba-4580-4dfe-9210-54d14193e37b,uuid:67eaf9ba-4580-4dfe-9210-54d14193e37b,2426,69,-4.606761382160347,39.38255140584234
2023-07-21T07:28:49Z,2023-07-21,PONGWE KIKONENI,Swahili,1,mud,NA,palm,NA,Open well inside the compound,NA,"None (bush, field)",Firewood,NA,None,no,3,uuid:6f2d0a20-1597-4ec9-bc93-a2599185167b,uuid:6f2d0a20-1597-4ec9-bc93-a2599185167b,2425,69,-4.602799326239431,39.387771678371365
2023-07-21T07:12:20Z,2023-07-21,PONGWE KIKONENI,NA,1,mud,NA,palm,NA,Open well outside the compound,NA,"None (bush, field)",Kerosene lamp,NA,Cellphone,no,4,uuid:eb05f49f-a055-4ed3-acbd-26e9863db3df,uuid:eb05f49f-a055-4ed3-acbd-26e9863db3df,2491,18,-4.484355761471315,39.37071490397124
2023-07-21T07:10:12Z,2023-07-20,PONGWE KIKONENI,Swahili,1,other,Timbers,palm,NA,Open well outside the compound,NA,"None (bush, field)",Solar panel,NA,Radio Cellphone TV,yes,7,uuid:fa389bc9-3dee-4c80-8a4c-2eda7836fdd5,uuid:fa389bc9-3dee-4c80-8a4c-2eda7836fdd5,2435,86,-4.638122336597003,39.39956056495444
2023-07-20T15:26:53Z,2023-07-19,PONGWE KIKONENI,NA,1,mud,NA,palm,NA,Open well outside the compound,NA,"None (bush, field)",Solar panel,NA,None,no,7,uuid:ccbde850-b094-4681-8ca8-af721a354091,uuid:ccbde850-b094-4681-8ca8-af721a354091,2462,94,-4.624090668703942,39.324129703206246
2023-07-20T12:36:50Z,2023-07-20,PONGWE KIKONENI,Swahili,0,blocks_cement,NA,iron,NA,Open well outside the compound,NA,Flush to pit latrine,Candles,NA,Cellphone,no,1,uuid:ccb24ec7-5c56-439d-9274-9545148df1e2,uuid:ccb24ec7-5c56-439d-9274-9545148df1e2,2513,49,-4.538717748313819,39.369063417537745
2023-07-20T10:58:21Z,2023-07-20,PONGWE KIKONENI,Swahili,0,mud,NA,iron,NA,Borehole with manual pump outside the compound,NA,Traditional pit latrine,Kerosene lamp,NA,None,no,1,uuid:8e43858f-f583-42b0-985f-4c6c6185a397,uuid:8e43858f-f583-42b0-985f-4c6c6185a397,2607,30,-4.4637803249204175,39.29715667667184
2023-07-20T10:58:18Z,2023-07-20,PONGWE KIKONENI,Swahili,1,mud,NA,palm,NA,Open well outside the compound,NA,"None (bush, field)",Solar panel,NA,Radio Cellphone,no,3,uuid:e298e5c8-441f-490d-9ec7-3aec70ebb244,uuid:e298e5c8-441f-490d-9ec7-3aec70ebb244,2585,72,-4.525468558545886,39.26446469768634
2023-07-20T10:58:17Z,2023-07-19,PONGWE KIKONENI,Swahili,2,mud,NA,palm,NA,Open well outside the compound,NA,"None (bush, field)",Solar panel,NA,Cellphone Radio,no,5,uuid:595e77ac-bf50-4eb0-9d8f-02c417854051,uuid:595e77ac-bf50-4eb0-9d8f-02c417854051,2585,72,-4.535351545295689,39.25919361387278
2023-07-20T10:41:41Z,2023-07-20,PONGWE KIKONENI,NA,1,mud,NA,palm,NA,Water collected directly from the river or ponds,NA,"None (bush, field)",Kerosene lamp,NA,Cellphone,no,6,uuid:0375f341-bce1-4ef0-84f9-19c92e4db29a,uuid:0375f341-bce1-4ef0-84f9-19c92e4db29a,2495,25,-4.510744338070489,39.3740648282526
2023-07-20T10:40:08Z,2023-07-20,PONGWE KIKONENI,Swahili,1,mud,NA,palm,NA,Open well outside the compound,NA,"None (bush, field)",Solar panel,NA,Cellphone,no,1,uuid:aff6815d-f69b-4592-a57d-ec4218520f59,uuid:aff6815d-f69b-4592-a57d-ec4218520f59,2415,54,-4.571593505623679,39.37916758167093
2023-07-20T10:29:21Z,2023-07-20,PONGWE KIKONENI,Swahili,1,blocks_mud,NA,palm,NA,Piped water outside the compound,NA,Traditional pit latrine,Solar panel,NA,Radio TV Cellphone,no,3,uuid:43a144c4-12e6-4e37-851e-7dd4b42ef926,uuid:43a144c4-12e6-4e37-851e-7dd4b42ef926,2541,21,-4.471093485296798,39.342302482282
2023-07-20T10:29:20Z,2023-07-18,PONGWE KIKONENI,Swahili,3,mud,NA,palm,NA,Piped water outside the compound,NA,Traditional pit latrine,Solar panel,NA,Radio TV Cellphone Sofa Cupboard,yes,11,uuid:43ff8dd3-f9b7-421f-946e-6f97f6a9f73a,uuid:43ff8dd3-f9b7-421f-946e-6f97f6a9f73a,2541,21,-4.47205639312773,39.34285897666981
2023-07-20T10:25:45Z,2023-07-20,PONGWE KIKONENI,Swahili,2,blocks_cement,NA,iron,NA,Open well outside the compound,NA,Flush to septic tank,Solar panel,NA,Cellphone,no,1,uuid:0f57057a-c462-4747-bebc-5fbdbe3423a9,uuid:0f57057a-c462-4747-bebc-5fbdbe3423a9,2514,49,-4.539160257470699,39.36878327335898
2023-07-20T10:25:44Z,2023-07-20,PONGWE KIKONENI,Swahili,1,blocks_cement,NA,iron,NA,Piped water within compound,NA,Flush to septic tank,Electricity,NA,TV Cellphone Radio,no,1,uuid:23b83c1d-8fe9-4fc4-b900-540b7cd5f647,uuid:23b83c1d-8fe9-4fc4-b900-540b7cd5f647,2514,49,-4.541691522785385,39.367167792873886
2023-07-20T10:13:43Z,2023-07-20,PONGWE KIKONENI,Swahili,1,blocks_cement,NA,iron,NA,Open well inside the compound,NA,Flush to pit latrine,Electricity,NA,Cellphone,no,3,uuid:b7a499fa-6b95-4a2d-9444-030d3f7dda29,uuid:b7a499fa-6b95-4a2d-9444-030d3f7dda29,2508,49,-4.541433040427316,39.36651284084493
2023-07-20T10:13:42Z,2023-07-20,PONGWE KIKONENI,Swahili,1,blocks_cement,NA,iron,NA,Open well outside the compound,NA,Flush to pit latrine,Electricity,NA,TV Cellphone,yes,6,uuid:352cbc90-0a43-4980-a8eb-fc5d40f7a028,uuid:352cbc90-0a43-4980-a8eb-fc5d40f7a028,2508,49,-4.541965008689709,39.36687431979079
2023-07-20T10:12:05Z,2023-07-20,PONGWE KIKONENI,Swahili,1,blocks_cement,NA,iron,NA,Open well outside the compound,NA,Flush to pit latrine,Electricity,NA,Radio TV Cellphone Sofa Table Cupboard,no,8,uuid:4c01d338-41f5-492d-9061-c707d8f7f001,uuid:4c01d338-41f5-492d-9061-c707d8f7f001,2469,95,-4.642701340966461,39.341169857899935
2023-07-20T10:11:12Z,2023-07-20,PONGWE KIKONENI,Swahili,0,blocks_cement,NA,iron,NA,Piped water outside the compound,NA,Bucket toilet,Electricity,NA,Cellphone Radio,no,2,uuid:c0ce01b5-fae9-489b-b79f-b11930952e83,uuid:c0ce01b5-fae9-489b-b79f-b11930952e83,2511,49,-4.5402340487384745,39.368631132060216
2023-07-20T10:11:11Z,2023-07-20,PONGWE KIKONENI,Swahili,1,blocks_cement,NA,iron,NA,Open well inside the compound,NA,Bucket toilet,Electricity,NA,Radio Cellphone Table TV,no,3,uuid:71ab96e5-337b-4fa9-b14c-8c0db1c7a484,uuid:71ab96e5-337b-4fa9-b14c-8c0db1c7a484,2511,49,-4.533512670092888,39.36818225646224
2023-07-20T10:11:10Z,2023-07-20,PONGWE KIKONENI,Swahili,0,blocks_cement,NA,iron,NA,Covered well inside the compound,NA,Bucket toilet,Electricity,NA,Cellphone TV Sofa Table,no,4,uuid:13b12f91-aab9-4029-a713-96bdc35879dd,uuid:13b12f91-aab9-4029-a713-96bdc35879dd,2511,49,-4.531930129674793,39.36786049395107
2023-07-20T10:09:48Z,2023-07-20,PONGWE KIKONENI,NA,0,blocks_cement,NA,iron,NA,Open well outside the compound,NA,"None (bush, field)",Electricity,NA,Radio Table,no,3,uuid:44812b45-13e1-4969-9b23-16680576a727,uuid:44812b45-13e1-4969-9b23-16680576a727,2468,95,-4.641586710477444,39.34122252258285
2023-07-20T10:09:26Z,2023-07-20,PONGWE KIKONENI,Swahili,1,blocks_cement,NA,iron,NA,Piped water inside the house,NA,Flush to pit latrine,Electricity,NA,Sofa Cellphone,no,3,uuid:79ffedb8-74f3-4f0b-916e-6241706b1deb,uuid:79ffedb8-74f3-4f0b-916e-6241706b1deb,2509,49,-4.5357509721170235,39.368446266814274
2023-07-20T10:05:36Z,2023-07-20,PONGWE KIKONENI,Swahili,1,mud,NA,iron,NA,Open well outside the compound,NA,"None (bush, field)",Solar panel,NA,Cellphone Table,no,3,uuid:2f90883b-4e3e-4551-88a6-316423df55da,uuid:2f90883b-4e3e-4551-88a6-316423df55da,2516,50,-4.534445877266351,39.349992255204796
2023-07-20T09:59:22Z,2023-07-20,PONGWE KIKONENI,Swahili,2,mud,NA,palm,NA,Water collected directly from the river or ponds,NA,Traditional pit latrine,Kerosene lamp,NA,Radio Cellphone,no,3,uuid:85f4b58f-4a79-444f-91ef-ca26fbe97fb6,uuid:85f4b58f-4a79-444f-91ef-ca26fbe97fb6,2602,20,-4.4412768414064585,39.30935963143787
2023-07-20T09:56:45Z,2023-07-20,PONGWE KIKONENI,Swahili,1,mud,NA,palm,NA,Piped water outside the compound,NA,"None (bush, field)",Electricity,NA,Radio Cellphone,no,3,uuid:c9df2bee-598a-4efa-bdce-9c2da648c29b,uuid:c9df2bee-598a-4efa-bdce-9c2da648c29b,2519,51,-4.55426570023077,39.37136538449366
2023-07-20T09:47:08Z,2023-07-19,PONGWE KIKONENI,Swahili,1,blocks_mud,NA,palm,NA,Open well outside the compound,NA,"None (bush, field)",Solar panel,NA,Radio Table Cellphone,no,8,uuid:967ab0df-0f63-451c-8b2e-733f55821198,uuid:967ab0df-0f63-451c-8b2e-733f55821198,2463,91,-4.632516503344946,39.3589023117647
2023-07-20T09:47:08Z,2023-07-20,PONGWE KIKONENI,Swahili,2,blocks_cement,NA,iron,NA,Piped water inside the house,NA,Traditional pit latrine,Electricity,NA,Radio TV Cellphone Table,yes,12,uuid:bc411dde-5566-454c-b34a-e2b7b8b8db91,uuid:bc411dde-5566-454c-b34a-e2b7b8b8db91,2601,11,-4.438715895081443,39.3055768456198
2023-07-20T09:47:07Z,2023-07-20,PONGWE KIKONENI,Swahili,1,mud,NA,palm,NA,Open well outside the compound,NA,Traditional pit latrine,Solar panel,NA,Cellphone,no,3,uuid:5a70db39-99a5-4037-983e-25358f1c1247,uuid:5a70db39-99a5-4037-983e-25358f1c1247,2601,11,-4.423767883110029,39.311440792051606
2023-07-20T09:47:06Z,2023-07-20,PONGWE KIKONENI,Swahili,2,blocks_cement,NA,iron,NA,Covered well outside the compound,NA,Traditional pit latrine,Solar panel,NA,Radio TV Cellphone Table,no,2,uuid:19785c41-494c-485c-a1fa-4168592b538a,uuid:19785c41-494c-485c-a1fa-4168592b538a,2601,11,-4.429278889725417,39.31220383795392
2023-07-20T09:37:19Z,2023-07-20,PONGWE KIKONENI,Swahili,1,blocks_cement,NA,iron,NA,Piped water within compound,NA,Improved ventilated pit latrine,Electricity,NA,Cellphone Sofa,no,1,uuid:60c57b9a-89c7-434f-9a3e-27e4a59e825e,uuid:60c57b9a-89c7-434f-9a3e-27e4a59e825e,2600,11,-4.434114617481095,39.313007753755834
2023-07-20T09:37:19Z,2023-07-20,PONGWE KIKONENI,Swahili,1,mud,NA,iron,NA,Covered well outside the compound,NA,Traditional pit latrine,Solar panel,NA,Radio,no,1,uuid:b1ba13d8-68fb-44cd-8950-5391a19e0395,uuid:b1ba13d8-68fb-44cd-8950-5391a19e0395,2600,11,-4.422139209750045,39.31443424877873
2023-07-20T09:37:18Z,2023-07-20,PONGWE KIKONENI,Swahili,2,mud,NA,iron,NA,Borehole with manual pump outside the compound,NA,Traditional pit latrine,Solar panel,NA,Cellphone Radio,no,1,uuid:f11ca3ef-e70e-407b-9cf1-26fe92cd8d17,uuid:f11ca3ef-e70e-407b-9cf1-26fe92cd8d17,2600,11,-4.429326444409247,39.31310206773116
2023-07-20T09:34:19Z,2023-07-20,PONGWE KIKONENI,Swahili,1,mud,NA,palm,NA,Open well outside the compound,NA,"None (bush, field)",Kerosene lamp,NA,Cellphone,yes,16,uuid:475e76d4-fde3-4f4e-9f53-943ffbd23137,uuid:475e76d4-fde3-4f4e-9f53-943ffbd23137,2499,33,-4.50798416759187,39.35597487168143
2023-07-20T09:27:22Z,2023-07-20,PONGWE KIKONENI,NA,1,other,Cement carton,palm,NA,Open well outside the compound,NA,"None (bush, field)",other,Torch,Radio Cellphone Table,yes,3,uuid:b7b8f071-8711-4c17-8afb-27267da0003b,uuid:b7b8f071-8711-4c17-8afb-27267da0003b,2463,91,-4.641081540611982,39.35394451906774
2023-07-20T09:26:42Z,2023-07-20,PONGWE KIKONENI,Swahili,2,blocks_cement,NA,iron,NA,Piped water inside the house,NA,Flush to pit latrine,Electricity,NA,Radio TV Cellphone Sofa Table Cupboard,yes,7,uuid:120cebe1-0451-4ed1-8d4d-5782dba74e17,uuid:120cebe1-0451-4ed1-8d4d-5782dba74e17,2518,51,-4.55801087940473,39.365486201406
2023-07-20T09:22:09Z,2023-07-20,PONGWE KIKONENI,Swahili,1,mud,NA,palm,NA,Borehole with manual pump outside the compound,NA,Traditional pit latrine,Kerosene lamp,NA,None,no,3,uuid:8462ae28-5fb2-4ceb-a201-e7e07db1e6b6,uuid:8462ae28-5fb2-4ceb-a201-e7e07db1e6b6,2606,30,-4.461418849957362,39.299916413248404
2023-07-20T09:20:46Z,2023-07-20,PONGWE KIKONENI,Swahili,1,blocks_mud,NA,iron,NA,Covered well outside the compound,NA,Traditional pit latrine,Kerosene lamp,NA,Cellphone,no,1,uuid:8b9d7c6e-8efd-4792-a14e-385636fd42e5,uuid:8b9d7c6e-8efd-4792-a14e-385636fd42e5,2498,33,-4.506680051523548,39.35728319991102
2023-07-20T08:57:44Z,2023-07-20,PONGWE KIKONENI,NA,1,mud,NA,palm,NA,Open well outside the compound,NA,"None (bush, field)",Kerosene lamp,NA,None,no,3,uuid:e5c4861b-685a-4aef-a4f0-cbdf3ebaba69,uuid:e5c4861b-685a-4aef-a4f0-cbdf3ebaba69,2535,77,-4.597488389359922,39.34964620546419
2023-07-20T08:57:42Z,2023-07-20,PONGWE KIKONENI,Swahili,1,blocks_cement,NA,iron,NA,Open well outside the compound,NA,Traditional pit latrine,Electricity,NA,Radio,no,1,uuid:1859f014-099a-4daf-8cb1-b43bdb55e1f5,uuid:1859f014-099a-4daf-8cb1-b43bdb55e1f5,2539,77,-4.598241232895784,39.35064391863692
2023-07-20T08:57:01Z,2023-07-20,PONGWE KIKONENI,Swahili,0,blocks_cement,NA,iron,NA,Open well outside the compound,NA,"None (bush, field)",Candles,NA,Cellphone,no,1,uuid:285a59b5-8dc3-4f51-8c9a-3a8ebc173251,uuid:285a59b5-8dc3-4f51-8c9a-3a8ebc173251,2536,77,-4.608836905150878,39.34849147815148
2023-07-20T08:56:53Z,2023-07-20,PONGWE KIKONENI,Swahili,1,blocks_cement,NA,iron,NA,Open well outside the compound,NA,Improved ventilated pit latrine,Electricity,NA,Cellphone,no,1,uuid:68d0a1b0-a6fc-49a7-81be-9842b2446bfb,uuid:68d0a1b0-a6fc-49a7-81be-9842b2446bfb,2531,77,-4.609566067776535,39.350166577993214
2023-07-20T08:56:15Z,2023-07-20,PONGWE KIKONENI,Swahili,0,blocks_cement,NA,iron,NA,Piped water within compound,NA,Flush to pit latrine,Electricity,NA,Cellphone,no,1,uuid:ebf1d04d-45e4-40c4-b77d-3d5659efbae6,uuid:ebf1d04d-45e4-40c4-b77d-3d5659efbae6,2534,77,-4.602075150544898,39.35109433269097
2023-07-20T08:56:07Z,2023-07-20,PONGWE KIKONENI,Swahili,1,mud,NA,palm,NA,Open well outside the compound,NA,"None (bush, field)",other,Torch  battery,None,no,1,uuid:be75537b-eb82-4c32-be0c-ac6bb87d319c,uuid:be75537b-eb82-4c32-be0c-ac6bb87d319c,2537,81,-4.6088987229183145,39.32882870280176
2023-07-20T08:55:10Z,2023-07-20,PONGWE KIKONENI,NA,1,mud,NA,palm,NA,Borehole with manual pump outside the compound,NA,"None (bush, field)",Kerosene lamp,NA,Cellphone,no,2,uuid:92b23025-810d-47cd-aa1f-91e7ac67de1e,uuid:92b23025-810d-47cd-aa1f-91e7ac67de1e,2603,24,-4.456150274396003,39.3049102092718
2023-07-20T08:55:09Z,2023-07-20,PONGWE KIKONENI,Swahili,2,mud,NA,palm,NA,Borehole with manual pump outside the compound,NA,Traditional pit latrine,Kerosene lamp,NA,Cellphone,no,6,uuid:a07924ec-d1b1-47a6-bf09-5f3f6e94015c,uuid:a07924ec-d1b1-47a6-bf09-5f3f6e94015c,2603,24,-4.448441698461722,39.30618371249902
2023-07-20T08:54:35Z,2023-07-20,PONGWE KIKONENI,Swahili,1,mud,NA,palm,NA,Borehole with manual pump outside the compound,NA,"None (bush, field)",Kerosene lamp,NA,Cellphone,no,1,uuid:535fd25e-da8d-4fc2-b457-b7a2b85b419c,uuid:535fd25e-da8d-4fc2-b457-b7a2b85b419c,2604,24,-4.458151047017082,39.30760105958154
2023-07-20T08:54:25Z,2023-07-20,PONGWE KIKONENI,Swahili,1,blocks_cement,NA,iron,NA,Covered well outside the compound,NA,Flush to pit latrine,Electricity,NA,Cellphone,no,1,uuid:0a2f0b42-dd22-412c-bde5-67418f38db31,uuid:0a2f0b42-dd22-412c-bde5-67418f38db31,2532,77,-4.599465694789961,39.35081092610895
2023-07-20T08:53:59Z,2023-07-20,PONGWE KIKONENI,NA,2,blocks_cement,NA,iron,NA,Covered well outside the compound,NA,Flush to piped sewer system,Kerosene lamp,NA,Cellphone,no,1,uuid:51b9a0c1-247e-42fa-b077-eda345b0ab79,uuid:51b9a0c1-247e-42fa-b077-eda345b0ab79,2538,77,-4.6075782814585695,39.350303727760156
2023-07-20T08:52:46Z,2023-07-20,RAMISI,Swahili,1,mud,NA,palm,NA,Water collected directly from the river or ponds,NA,"None (bush, field)",Solar panel,NA,Cellphone Radio Table,yes,1,uuid:724751b1-dd25-4402-97d8-4c6e7e5dde73,uuid:724751b1-dd25-4402-97d8-4c6e7e5dde73,2489,17,-4.4963453716255355,39.39261525478904
